date,parameter_type,mean_value,std_value,min_value,max_value,valid_pixel_count,total_pixel_count,quality_ratio
2021-05-07,chlorophyll_a,0.4491,0.4298,0.0,2.0,705062,19897850,0.0354
2021-05-14,chlorophyll_a,0.6067,0.465,0.0,2.0,431623,19902715,0.0217
2021-05-21,chlorophyll_a,0.4644,0.2235,0.0,2.0,973177,19897850,0.0489
2021-05-28,chlorophyll_a,0.5633,0.5059,0.0,2.0,809086,19902715,0.0407
2021-06-04,chlorophyll_a,0.4555,0.3075,0.0,2.0,772024,19897850,0.0388
2021-06-11,chlorophyll_a,0.4905,0.5027,0.0,2.0,1703147,19902715,0.0856
2021-06-18,chlorophyll_a,0.5796,0.4144,0.0,2.0,346501,19902715,0.0174
2021-06-25,chlorophyll_a,0.571,0.4971,0.0,2.0,607692,19897850,0.0305
2021-07-02,chlorophyll_a,0.4896,0.2998,0.0,2.0,1650489,19902715,0.0829
2021-07-09,chlorophyll_a,0.7244,0.4717,0.0,2.0,862846,19902715,0.0434
2021-07-16,chlorophyll_a,0.5007,0.3246,0.0,2.0,1740153,19897850,0.0875
2021-07-23,chlorophyll_a,0.5146,0.4504,0.0,2.0,1023417,19902715,0.0514
2021-07-30,chlorophyll_a,0.6519,0.4749,0.0,2.0,552523,19902715,0.0278
2021-08-06,chlorophyll_a,0.4237,0.2616,0.0,2.0,1082366,19902715,0.0544
2021-08-13,chlorophyll_a,0.4536,0.4847,0.0,2.0,785968,19902715,0.0395
2021-08-20,chlorophyll_a,0.5141,0.393,0.0,2.0,837968,19897850,0.0421
2021-08-27,chlorophyll_a,0.3059,0.4163,0.0,2.0,1159198,19897850,0.0583
2021-09-03,chlorophyll_a,0.6339,0.4816,0.0,2.0,277058,19902715,0.0139
2021-09-10,chlorophyll_a,0.4771,0.415,0.0,2.0,419884,19902715,0.0211
2021-09-17,chlorophyll_a,0.6156,0.4745,0.0,2.0,783581,19902715,0.0394
2021-09-24,chlorophyll_a,0.4526,0.5235,0.0,2.0,182980,19902715,0.0092
2021-09-30,chlorophyll_a,0.5279,0.4015,0.0,2.0,370169,19902715,0.0186
2022-05-07,chlorophyll_a,0.4619,0.285,0.0,2.0,1254411,19902715,0.063
